Taille index,Taille majeur,Taille annulaire,largeur paume,longueur paume,sexe,adulte
"75,3","85,2","81,5","86,7","111,8",H,Oui
"75,8","78,8","75,3","86,1","110,5",H,Oui
"74,2","82,6","78,5","85,8",110,H,Oui
73,"82,1","74,7","80,6","102,5",F,Oui
"68,5","72,4","67,8",75,"99,9",F,Oui
"70,5","74,9","68,1","74,7","93,4",F,Oui
"72,1","77,8","70,7","76,6","100,1",F,Oui
"75,2","82,1","74,6","92,1","115,1",H,Oui
"72,6","79,2","75,7","89,2","116,6",H,Oui
"59,3",63,"59,3","73,9","84,8",F,Non
"51,9",53,"52,8","59,8",72,H,Non
"70,8","78,3","72,1","76,1","100,5",F,Oui
81,"83,4","79,4","91,8","119,6",H,Oui
"57,5","62,2",58,"68,1",80,F,Non
"63,2","70,2","64,8","74,1","93,1",F,Oui
"48,1","52,5","49,2","56,9","73,4",H,Non
"78,2","87,3","84,2","89,4","109,3",H,Oui
"70,9","78,6","70,9","75,1","98,9",F,Non
"76,7","86,2","78,2","86,9","114,8",H,Oui
"66,5","75,6","69,6","71,9",95,F,Non
69,75,"72,5","77,3","102,8",F,Oui
"66,8","71,3","66,3","77,9","102,3",F,Oui
"48,5","52,5","50,2","57,5","72,3",H,Non
"68,8",80,"75,4","85,6",105,H,Oui
"47,8","52,8","51,4","62,5","68,6",H,Non
"68,6","75,5","69,6","71,9",96,H,Non
"64,6",71,"69,1",85,"103,5",H,Oui
"61,6","68,9","61,6","73,7","84,4",H,Non
"59,5","66,7","61,4","71,9","93,1",F,Oui
"79,5","83,9","77,5","92,5","116,3",H,Oui
"58,1","66,1","60,6","68,4","89,5",F,Non
"61,2","68,4","62,6","61,7","84,8",F,Non
"78,3","87,9","78,2","89,6","109,9",H,Oui
"72,1","74,9","67,2","77,8","102,5",F,Oui
"66,5","71,8","67,2","82,1","96,8",H,Oui
"43,2","49,8","47,2","55,7","63,1",F,Non
"84,1",90,86,"84,7","111,6",H,Oui
"76,3","82,1",77,"87,8","109,7",H,Oui
"70,7",81,"74,3",86,"109,9",H,Oui
"72,8","77,1","73,4","85,1",95,F,Oui
"71,1","75,5","69,5","75,4","101,6",F,Oui
"67,8","72,2","69,5","77,7","100,3",F,Oui
"63,1","70,7","63,6","72,6","90,2",F,Oui
"68,7","73,7","71,2","73,8",99,F,Oui
"74,8","77,3","73,5","75,3","101,2",F,Oui
71,"79,1",74,"84,1","106,5",H,Oui
"63,2","71,5","62,2","68,2","92,9",F,Oui
72,"80,6",75,"86,9","106,5",H,Oui
"77,9","81,1","77,9","82,3","104,3",H,Oui
"79,3","83,4","75,6","82,4","106,4",F,Oui
"73,9",78,"75,8","68,3","103,5",F,Oui
"76,1","80,3","72,2","81,5","108,6",H,Oui
"72,4","79,5","75,7","80,3","103,6",F,Oui
"77,5","88,8","83,6","91,9","111,4",H,Oui
"64,1","70,6","68,2","74,7","89,5",F,Oui
"71,7","79,6","70,9","78,8","100,1",F,Oui
"74,2","81,4","74,1","82,5","104,3",H,Oui
"69,2","77,5","69,4","78,4","97,3",H,Oui
"71,3","79,9","71,8","78,3","98,7",H,Oui
72,"77,7","70,8",78,"99,1",H,Oui
"73,8","81,1","74,6",81,"96,9",H,Oui
"73,3","78,1","73,7","72,3","102,8",F,Oui
"62,9","65,7",61,74,"96,1",F,Oui
"77,5","86,4","80,9","82,7","110,9",H,Oui
"67,5",77,"70,5","85,2","105,6",H,Oui
"67,6","73,4","67,9",75,"93,7",F,Oui
"67,6","75,6","68,7","81,7","105,9",H,Oui
"70,6","74,5","65,7","76,4","105,3",H,Oui
"66,9","74,7","70,2","76,2","102,3",F,Oui
"66,4","74,6",69,"74,1","96,2",F,Oui
"68,7","75,9","70,4","86,2","100,1",H,Oui
"68,2","74,5","71,5","82,2","98,6",F,Oui
"68,1",72,"65,1",75,"91,5",F,Oui
"74,6","81,2","75,3","93,9",115,H,Oui
66,"67,2","63,8","70,7","85,7",H,Non
"71,9","75,6","65,9","73,3","96,6",F,Oui
"79,8","87,1","77,2","84,4","115,9",H,Oui
"73,7","82,7","73,7","87,7","106,5",H,Oui
"78,3","66,1","77,5","80,3","108,7",F,Oui
72,"80,2","74,4","87,5","106,2",H,Oui
"67,8","76,8","70,7","85,3","104,2",H,Oui
